1,[255, 255, 255],"White"
2,[212, 212, 212],"Pale Grey"
3,[170, 170, 170],"Light Grey"
4,[128, 128, 128],"Grey"
5,[85, 85, 85],"Dark Grey"
6,[42, 42, 42],"Deep Grey"
7,[0, 0, 0],"Black"
8,[249, 134, 134],"Light Red"
9,[242, 13, 13],"Red"
10,[161, 8, 8],"Dark Red"
11,[249, 178, 134],"Light Orange"
12,[242, 101, 13],"Orange"
13,[161, 67, 8],"Dark Orange"
14,[249, 220, 134],"Light Gold"
15,[242, 185, 13],"Gold"
16,[161, 123, 8],"Dark Gold"
17,[249, 249, 134],"Light Yellow"
18,[242, 242, 13],"Yellow"
19,[161, 161, 8],"Dark Yellow"
20,[210, 249, 134],"Light Chartreuse"
21,[166, 242, 13],"Chartreuse"
22,[110, 161, 8],"Dark Chartreuse"
23,[134, 249, 134],"Light Green"
24,[13, 242, 13],"Green"
25,[8, 161, 8],"Dark Green"
26,[134, 249, 205],"Light Teal"
27,[13, 242, 154],"Teal"
28,[8, 161, 103],"Dark Teal"
29,[134, 249, 249],"Light Cyan"
30,[13, 242, 242],"Cyan"
31,[8, 161, 161],"Dark Cyan"
32,[134, 205, 249],"Light Sky Blue"
33,[13, 154, 242],"Sky Blue"
34,[8, 103, 161],"Dark Sky Blue"
35,[134, 134, 249],"Light Blue"
36,[13, 13, 242],"Blue"
37,[8, 8, 161],"Dark Blue"
38,[182, 134, 249],"Light Indigo"
39,[108, 13, 242],"Indigo"
40,[72, 8, 161],"Dark Indigo"
41,[210, 134, 249],"Light Purple"
42,[166, 13, 242],"Purple"
43,[110, 8, 161],"Dark Purple"
44,[235, 134, 249],"Light Violet"
45,[215, 13, 242],"Violet"
46,[144, 8, 161],"Dark Violet"
47,[249, 134, 210],"Light Pink"
48,[242, 13, 166],"Pink"
49,[161, 8, 110],"Dark Pink"
50,[65, 22, 22],"Deep Red"
51,[65, 54, 22],"Deep Yellow"
52,[43, 65, 22],"Deep Green"
53,[22, 65, 48],"Deep Teal"
54,[22, 33, 65],"Deep Blue"
55,[43, 22, 65],"Deep Purple"
56,[65, 22, 54],"Deep Pink"
57,[236, 198, 198],"Pale Red"
58,[236, 221, 198],"Pale Yellow"
59,[202, 236, 198],"Pale Green"
60,[198, 236, 236],"Pale Teal"
61,[198, 217, 236],"Pale Blue"
62,[217, 198, 236],"Pale Purple"
63,[236, 198, 226],"Pale Pink"
64,[56, 43, 31],"Umber"
65,[72, 47, 25],"Mocha"
66,[101, 62, 29],"Cinnamon"
67,[130, 79, 35],"Brown"
68,[153, 96, 46],"Peanut"
69,[184, 132, 86],"Tortilla"
70,[218, 192, 169],"Beige"
